When,How,SubID,Condition,Age,Gender,Grade,Category.num,Category
N,T,40,4,5.980821918,M,K,2,Violin
N,T,40,4,5.980821918,M,K,3,Face
N,T,40,4,5.980821918,M,K,4,Reading
N,O,40,4,5.980821918,M,K,5,Hear
N,T,40,4,5.980821918,M,K,6,Number
N,T,40,4,5.980821918,M,K,7,Spider
N,T,40,4,5.980821918,M,K,8,ObjPerm
N,O,40,4,5.980821918,M,K,9,Bee
,O,40,4,5.980821918,M,K,10,Helping
Y,B,40,4,5.980821918,M,K,11,Crying
,T,40,4,5.980821918,M,K,12,Fish
N,T,40,4,5.980821918,M,K,13,Gravity
N,T,23,3,5.991780822,M,K,1,Violin
Y,B,23,3,5.991780822,M,K,2,See
N,O,23,3,5.991780822,M,K,3,Gravity
Y,B,23,3,5.991780822,M,K,4,Fish
Y,B,23,3,5.991780822,M,K,5,Crying
N,O,23,3,5.991780822,M,K,6,Helping
N,O,23,3,5.991780822,M,K,7,Bee
N,O,23,3,5.991780822,M,K,8,ObjPerm
N,O,23,3,5.991780822,M,K,9,Spider
N,T,23,3,5.991780822,M,K,10,Number
Y,B,23,3,5.991780822,M,K,11,Hear
N,T,23,3,5.991780822,M,K,12,Reading
N,O,23,3,5.991780822,M,K,13,Face
Y,B,7,2,6.126027397,0,pre-k,1,See
Y,T,7,2,6.126027397,0,pre-k,2,Violin
N,B,7,2,6.126027397,0,pre-k,3,Face
N,T,7,2,6.126027397,0,pre-k,4,Reading
N,B,7,2,6.126027397,0,pre-k,5,Hear
Y,T,7,2,6.126027397,0,pre-k,6,Number
N,B,7,2,6.126027397,0,pre-k,7,Spider
N,T,7,2,6.126027397,0,pre-k,8,ObjPerm
N,T,7,2,6.126027397,0,pre-k,9,Bee
N,B,7,2,6.126027397,0,pre-k,10,Helping
Y,B,7,2,6.126027397,0,pre-k,11,Crying
N,T,7,2,6.126027397,0,pre-k,12,Fish
N,T,7,2,6.126027397,0,pre-k,13,Gravity
N,T,33,1,6.142465753,F,K,1,Violin
Y,B,33,1,6.142465753,F,K,2,See
N,O,33,1,6.142465753,F,K,3,Gravity
Y,,33,1,6.142465753,F,K,4,Fish
Y,B,33,1,6.142465753,F,K,5,Crying
N,T,33,1,6.142465753,F,K,6,Helping
N,O,33,1,6.142465753,F,K,7,Bee
N,O,33,1,6.142465753,F,K,8,ObjPerm
Y,T,33,1,6.142465753,F,K,9,Spider
N,T,33,1,6.142465753,F,K,10,Number
Y,B,33,1,6.142465753,F,K,11,Hear
N,T,33,1,6.142465753,F,K,12,Reading
N,B,33,1,6.142465753,F,K,13,Face
Y,B,32,4,6.169863014,M,K,1,See
N,T,32,4,6.169863014,M,K,2,Violin
N,B,32,4,6.169863014,M,K,3,Face
N,T,32,4,6.169863014,M,K,4,Reading
Y,B,32,4,6.169863014,M,K,5,Hear
N,T,32,4,6.169863014,M,K,6,Number
N,T,32,4,6.169863014,M,K,7,Spider
N,T,32,4,6.169863014,M,K,8,ObjPerm
N,T,32,4,6.169863014,M,K,9,Bee
N,T,32,4,6.169863014,M,K,10,Helping
Y,B,32,4,6.169863014,M,K,11,Crying
Y,B,32,4,6.169863014,M,K,12,Fish
N,T,32,4,6.169863014,M,K,13,Gravity
Y,B,2,2,6.18630137,F,K,1,See
N,T,2,2,6.18630137,F,K,2,Violin
N,T,2,2,6.18630137,F,K,3,Face
N,T,2,2,6.18630137,F,K,4,Reading
Y,B,2,2,6.18630137,F,K,5,Hear
N,T,2,2,6.18630137,F,K,6,Number
N,T,2,2,6.18630137,F,K,7,Spider
N,T,2,2,6.18630137,F,K,8,ObjPerm
N,T,2,2,6.18630137,F,K,9,Bee
N,T,2,2,6.18630137,F,K,10,Helping
Y,B,2,2,6.18630137,F,K,11,Crying
Y,B,2,2,6.18630137,F,K,12,Fish
N,T,2,2,6.18630137,F,K,13,Gravity
N,T,61,1,6.369863014,F,K,1,Violin
Y,B,61,1,6.369863014,F,K,2,See
N,O,61,1,6.369863014,F,K,3,Gravity
Y,O,61,1,6.369863014,F,K,4,Fish
Y,B,61,1,6.369863014,F,K,5,Crying
N,O,61,1,6.369863014,F,K,6,Helping
N,B,61,1,6.369863014,F,K,7,Bee
N,O,61,1,6.369863014,F,K,8,ObjPerm
Y,B,61,1,6.369863014,F,K,9,Spider
N,T,61,1,6.369863014,F,K,10,Number
Y,B,61,1,6.369863014,F,K,11,Hear
N,B,61,1,6.369863014,F,K,12,Reading
N,T,61,1,6.369863014,F,K,13,Face
N,T,6,1,6.37260274,F,K,1,Violin
Y,B,6,1,6.37260274,F,K,2,See
N,B,6,1,6.37260274,F,K,3,Gravity
Y,B,6,1,6.37260274,F,K,4,Fish
Y,B,6,1,6.37260274,F,K,5,Crying
N,T,6,1,6.37260274,F,K,6,Helping
N,O,6,1,6.37260274,F,K,7,Bee
N,O,6,1,6.37260274,F,K,8,ObjPerm
N,T,6,1,6.37260274,F,K,9,Spider
N,T,6,1,6.37260274,F,K,10,Number
Y,O,6,1,6.37260274,F,K,11,Hear
N,T,6,1,6.37260274,F,K,12,Reading
N,O,6,1,6.37260274,F,K,13,Face
N,T,48,4,6.57260274,F,1,1,Violin
N,O,48,4,6.57260274,F,1,2,See
N,T,48,4,6.57260274,F,1,3,Face
N,T,48,4,6.57260274,F,1,4,Reading
Y,B,48,4,6.57260274,F,1,5,Hear
N,T,48,4,6.57260274,F,1,6,Number
N,T,48,4,6.57260274,F,1,7,Spider
Y,O,48,4,6.57260274,F,1,8,ObjPerm
N,T,48,4,6.57260274,F,1,9,Bee
N,T,48,4,6.57260274,F,1,10,Helping
Y,B,48,4,6.57260274,F,1,11,Crying
Y,B,48,4,6.57260274,F,1,12,Fish
N,T,48,4,6.57260274,F,1,13,Gravity
N,T,55,1,6.868493151,F,1,1,Violin
